Source,Target,Type
L1,1,undirected
L2,1,undirected
L3,1,undirected
L4,1,undirected
L5,1,undirected
L6,1,undirected
L7,1,undirected
L8,1,undirected
L9,1,undirected
L10,1,undirected
L11,1,undirected
L12,2,undirected
L13,2,undirected
L14,2,undirected
L15,2,undirected
L16,2,undirected
L17,2,undirected
L18,2,undirected
L19,2,undirected
L20,2,undirected
L21,2,undirected
L22,2,undirected
L23,2,undirected
L24,2,undirected
L25,2,undirected
L26,2,undirected
L27,2,undirected
L5,2,undirected
L28,2,undirected
L29,2,undirected
L30,2,undirected
L31,2,undirected
L11,2,undirected
L32,3,undirected
L33,3,undirected
L34,3,undirected
L35,3,undirected
L36,3,undirected
L37,3,undirected
L38,3,undirected
L39,3,undirected
L40,3,undirected
L41,3,undirected
L42,3,undirected
L43,3,undirected
L44,3,undirected
L45,3,undirected
L46,3,undirected
L47,3,undirected
L48,3,undirected
L49,3,undirected
L50,3,undirected
L51,3,undirected
L52,3,undirected
L53,3,undirected
L54,3,undirected
L55,3,undirected
L56,3,undirected
L26,3,undirected
L11,3,undirected
L57,3,undirected
L58,4,undirected
L59,4,undirected
L60,4,undirected
L61,4,undirected
L62,4,undirected
L63,4,undirected
L18,4,undirected
L21,4,undirected
L27,4,undirected
L64,4,undirected
L65,4,undirected
L66,4,undirected
L67,4,undirected
L68,4,undirected
L69,4,undirected
L70,4,undirected
L71,4,undirected
L72,4,undirected
L73,4,undirected
L74,4,undirected
L75,4,undirected
L76,4,undirected
L77,4,undirected
L78,4,undirected
L79,4,undirected
L80,4,undirected
L81,4,undirected
L11,4,undirected
L82,4,undirected
L83,4,undirected
L84,4,undirected
L85,4,undirected
L86,4,undirected
L87,4,undirected
L88,4,undirected
L89,4,undirected
L90,4,undirected
L91,4,undirected
L92,4,undirected
L93,4,undirected
L94,4,undirected
L95,4,undirected
L96,4,undirected
L97,4,undirected
L98,4,undirected
L99,4,undirected
L100,4,undirected
L18,5,undirected
L101,5,undirected
L102,5,undirected
L37,5,undirected
L103,5,undirected
L21,5,undirected
L104,5,undirected
L105,5,undirected
L106,5,undirected
L11,5,undirected
L107,5,undirected
L108,5,undirected
L109,5,undirected
L110,5,undirected
L111,5,undirected
L112,5,undirected
L113,5,undirected
L114,5,undirected
L115,5,undirected
L116,5,undirected
L117,5,undirected
L118,5,undirected
L119,5,undirected
L120,5,undirected
L9,7,undirected
L121,7,undirected
L122,7,undirected
L123,7,undirected
L124,7,undirected
L125,7,undirected
L126,7,undirected
L127,7,undirected
L34,7,undirected
L128,7,undirected
L3,7,undirected
L18,7,undirected
L129,7,undirected
L130,7,undirected
L131,7,undirected
L132,7,undirected
L133,7,undirected
L134,7,undirected
L135,7,undirected
L136,7,undirected
L137,7,undirected
L138,7,undirected
L139,7,undirected
L140,7,undirected
L141,7,undirected
L142,7,undirected
L143,7,undirected
L144,7,undirected
L145,7,undirected
L146,7,undirected
L147,7,undirected
L148,7,undirected
L149,7,undirected
L21,7,undirected
L150,7,undirected
L151,7,undirected
L152,7,undirected
L153,7,undirected
L154,7,undirected
L155,7,undirected
L156,7,undirected
L25,7,undirected
L157,7,undirected
L158,7,undirected
L159,7,undirected
L160,7,undirected
L161,7,undirected
L162,7,undirected
L163,7,undirected
L164,7,undirected
L165,7,undirected
L166,7,undirected
L167,7,undirected
L168,7,undirected
L169,7,undirected
L170,7,undirected
L171,7,undirected
L45,7,undirected
L172,7,undirected
L173,7,undirected
L174,7,undirected
L175,7,undirected
L176,7,undirected
L4,7,undirected
L177,7,undirected
L178,7,undirected
L179,7,undirected
L180,7,undirected
L181,7,undirected
L37,7,undirected
L182,7,undirected
L183,7,undirected
L184,7,undirected
L185,7,undirected
L186,7,undirected
L187,7,undirected
L188,7,undirected
L189,7,undirected
L190,7,undirected
L191,7,undirected
L192,7,undirected
L193,7,undirected
L27,7,undirected
L194,7,undirected
L195,7,undirected
L196,7,undirected
L197,7,undirected
L198,7,undirected
L199,7,undirected
L200,7,undirected
L22,7,undirected
L201,7,undirected
L202,7,undirected
L26,7,undirected
L5,7,undirected
L203,7,undirected
L204,7,undirected
L205,7,undirected
L206,7,undirected
L207,7,undirected
L208,7,undirected
L209,7,undirected
L210,7,undirected
L211,7,undirected
L82,7,undirected
L212,7,undirected
L213,7,undirected
L101,7,undirected
L56,7,undirected
L214,7,undirected
L215,7,undirected
L216,7,undirected
L217,7,undirected
L218,7,undirected
L219,7,undirected
L220,7,undirected
L221,7,undirected
L222,7,undirected
L223,7,undirected
L224,7,undirected
L225,7,undirected
L226,7,undirected
L227,7,undirected
L54,7,undirected
L228,7,undirected
L229,7,undirected
L230,7,undirected
L231,7,undirected
L11,7,undirected
L232,7,undirected
L233,7,undirected
L234,7,undirected
L235,7,undirected
L236,7,undirected
L237,7,undirected
L238,7,undirected
L239,7,undirected
L240,7,undirected
L241,7,undirected
L242,7,undirected
L243,7,undirected
L244,7,undirected
L245,7,undirected
L246,7,undirected
L247,7,undirected
L248,7,undirected
L249,7,undirected
L250,7,undirected
L251,7,undirected
L252,7,undirected
L253,7,undirected
L254,7,undirected
L255,7,undirected
L256,7,undirected
L257,7,undirected
L258,7,undirected
L259,7,undirected
L260,7,undirected
L261,7,undirected
L262,7,undirected
L263,7,undirected
L264,7,undirected
L265,7,undirected
L266,7,undirected
L267,7,undirected
L268,7,undirected
L269,7,undirected
L270,7,undirected
L271,7,undirected
L272,7,undirected
L273,7,undirected
L274,7,undirected
L275,7,undirected
L276,7,undirected
L277,7,undirected
L278,7,undirected
L279,7,undirected
L280,7,undirected
L281,7,undirected
L282,7,undirected
L283,7,undirected
L284,7,undirected
L285,7,undirected
L286,7,undirected
L287,7,undirected
L288,7,undirected
L289,7,undirected
L290,7,undirected
L291,7,undirected
L292,7,undirected
L293,8,undirected
L294,8,undirected
L295,8,undirected
L296,8,undirected
L297,8,undirected
L298,8,undirected
L299,8,undirected
L300,8,undirected
L301,8,undirected
L302,8,undirected
L195,8,undirected
L303,8,undirected
L304,8,undirected
L305,8,undirected
L306,8,undirected
L307,8,undirected
L308,8,undirected
L309,8,undirected
L310,8,undirected
L311,8,undirected
L312,8,undirected
L313,8,undirected
L27,8,undirected
L314,8,undirected
L315,8,undirected
L316,8,undirected
L317,8,undirected
L318,8,undirected
L319,8,undirected
L320,8,undirected
L102,8,undirected
L321,8,undirected
L153,8,undirected
L322,8,undirected
L323,8,undirected
L324,8,undirected
L325,8,undirected
L326,8,undirected
L327,8,undirected
L328,8,undirected
L329,8,undirected
L330,8,undirected
L331,8,undirected
L332,8,undirected
L333,8,undirected
L334,8,undirected
L335,8,undirected
L220,8,undirected
L336,8,undirected
L337,8,undirected
L338,8,undirected
L339,8,undirected
L340,8,undirected
L341,8,undirected
L342,8,undirected
L343,8,undirected
L344,8,undirected
L345,8,undirected
L346,8,undirected
L65,8,undirected
L347,8,undirected
L79,8,undirected
L348,8,undirected
L23,8,undirected
L349,8,undirected
L101,8,undirected
L25,8,undirected
L350,8,undirected
L351,8,undirected
L352,8,undirected
L155,8,undirected
L353,8,undirected
L354,8,undirected
L21,8,undirected
L355,8,undirected
L356,8,undirected
L357,8,undirected
L358,8,undirected
L359,8,undirected
L360,8,undirected
L361,8,undirected
L362,8,undirected
L363,8,undirected
L364,8,undirected
L365,8,undirected
L366,8,undirected
L367,8,undirected
L11,8,undirected
L368,8,undirected
L369,8,undirected
L45,8,undirected
L370,8,undirected
L371,8,undirected
L372,8,undirected
L9,8,undirected
L373,8,undirected
L374,8,undirected
L375,8,undirected
L376,8,undirected
L377,8,undirected
L260,8,undirected
L378,8,undirected
L379,8,undirected
L380,8,undirected
L381,8,undirected
L382,8,undirected
L383,8,undirected
L384,8,undirected
L385,8,undirected
L386,8,undirected
L387,8,undirected
L388,8,undirected
L389,8,undirected
L390,8,undirected
L391,8,undirected
L392,8,undirected
L393,8,undirected
L259,8,undirected
L394,8,undirected
L395,8,undirected
L396,8,undirected
L397,8,undirected
L398,8,undirected
L279,8,undirected
L399,8,undirected
L400,8,undirected
L401,8,undirected
L268,8,undirected
L402,8,undirected
L403,8,undirected
L271,8,undirected
L264,8,undirected
L285,8,undirected
L269,8,undirected
L276,8,undirected
L404,8,undirected
L405,8,undirected
L286,8,undirected
L266,8,undirected
L282,8,undirected
L280,8,undirected
L406,8,undirected
L267,8,undirected
L407,8,undirected
L283,8,undirected
L287,8,undirected
L270,8,undirected
L408,8,undirected
L409,8,undirected
L410,8,undirected
L411,8,undirected
L412,8,undirected
L413,8,undirected
L414,8,undirected
L415,9,undirected
L18,9,undirected
L21,9,undirected
L416,9,undirected
L371,9,undirected
L417,9,undirected
L26,9,undirected
L418,9,undirected
L419,9,undirected
L420,9,undirected
L421,9,undirected
L422,9,undirected
L423,9,undirected
L424,9,undirected
L425,9,undirected
L426,9,undirected
L427,9,undirected
L428,9,undirected
L27,9,undirected
L429,9,undirected
L430,9,undirected
L431,9,undirected
L432,9,undirected
L433,9,undirected
L434,9,undirected
L435,9,undirected
L436,9,undirected
L437,9,undirected
L438,9,undirected
L439,9,undirected
L107,9,undirected
L440,9,undirected
L441,9,undirected
L442,9,undirected
L443,9,undirected
L444,9,undirected
L445,9,undirected
L446,9,undirected
L447,9,undirected
L448,9,undirected
L449,9,undirected
L11,9,undirected
L450,9,undirected
L221,9,undirected
L451,9,undirected
L452,9,undirected
L453,9,undirected
L454,9,undirected
L455,9,undirected
L456,9,undirected
L457,9,undirected
L458,9,undirected
L5,9,undirected
L459,9,undirected
L460,9,undirected
L461,9,undirected
L462,9,undirected
L463,9,undirected
L464,9,undirected
L465,9,undirected
L466,9,undirected
L467,9,undirected
L468,9,undirected
L469,9,undirected
L470,9,undirected
L471,9,undirected
L4,9,undirected
L472,9,undirected
L473,9,undirected
L474,9,undirected
L475,9,undirected
L476,9,undirected
L477,9,undirected
L478,9,undirected
L479,9,undirected
L480,9,undirected
L481,9,undirected
L482,9,undirected
L483,9,undirected
L484,9,undirected
L485,9,undirected
L486,9,undirected
L487,9,undirected
L488,9,undirected
L116,9,undirected
L489,9,undirected
L490,9,undirected
L491,9,undirected
L492,9,undirected
L493,9,undirected
L494,9,undirected
L495,9,undirected
L496,9,undirected
L497,9,undirected
L498,9,undirected
L499,9,undirected
L500,10,undirected
L501,10,undirected
L157,10,undirected
L502,10,undirected
L503,10,undirected
L18,10,undirected
L296,10,undirected
L504,10,undirected
L136,10,undirected
L505,10,undirected
L37,10,undirected
L506,10,undirected
L507,10,undirected
L508,10,undirected
L23,10,undirected
L194,10,undirected
L175,10,undirected
L509,10,undirected
L510,10,undirected
L511,10,undirected
L512,10,undirected
L153,10,undirected
L27,10,undirected
L64,10,undirected
L364,10,undirected
L513,10,undirected
L166,10,undirected
L514,10,undirected
L515,10,undirected
L203,10,undirected
L516,10,undirected
L517,10,undirected
L518,10,undirected
L519,10,undirected
L520,10,undirected
L180,10,undirected
L521,10,undirected
L522,10,undirected
L212,10,undirected
L523,10,undirected
L107,10,undirected
L524,10,undirected
L525,10,undirected
L526,10,undirected
L527,10,undirected
L528,10,undirected
L529,10,undirected
L530,10,undirected
L531,10,undirected
L49,10,undirected
L532,10,undirected
L533,10,undirected
L534,10,undirected
L535,10,undirected
L536,10,undirected
L82,10,undirected
L537,10,undirected
L538,10,undirected
L539,10,undirected
L353,10,undirected
L540,10,undirected
L541,10,undirected
L542,10,undirected
L543,10,undirected
L544,10,undirected
L545,10,undirected
L546,10,undirected
L547,10,undirected
L548,10,undirected
L549,10,undirected
L550,10,undirected
L342,10,undirected
L551,10,undirected
L552,10,undirected
L553,10,undirected
L554,10,undirected
L24,10,undirected
L223,10,undirected
L555,10,undirected
L556,10,undirected
L91,10,undirected
L557,10,undirected
L558,10,undirected
L360,10,undirected
L56,10,undirected
L559,10,undirected
L560,10,undirected
L561,10,undirected
L562,10,undirected
L563,10,undirected
L564,10,undirected
L565,10,undirected
L566,10,undirected
L567,10,undirected
L101,10,undirected
L568,10,undirected
L569,10,undirected
L570,10,undirected
L456,10,undirected
L571,10,undirected
L572,10,undirected
L573,10,undirected
L574,10,undirected
L575,10,undirected
L576,10,undirected
L577,10,undirected
L578,10,undirected
L579,10,undirected
L416,10,undirected
L580,10,undirected
L581,10,undirected
L582,10,undirected
L583,10,undirected
L584,10,undirected
L350,10,undirected
L72,10,undirected
L170,10,undirected
L21,10,undirected
L585,10,undirected
L586,10,undirected
L80,10,undirected
L587,10,undirected
L588,10,undirected
L367,10,undirected
L589,10,undirected
L590,10,undirected
L79,10,undirected
L591,10,undirected
L11,10,undirected
L592,10,undirected
L593,10,undirected
L594,10,undirected
L595,10,undirected
L596,10,undirected
L597,10,undirected
L598,10,undirected
L25,10,undirected
L249,10,undirected
L599,10,undirected
L600,10,undirected
L601,10,undirected
L602,10,undirected
L603,10,undirected
L604,10,undirected
L605,10,undirected
L606,10,undirected
L607,10,undirected
L608,10,undirected
L609,10,undirected
L610,10,undirected
L611,10,undirected
L612,10,undirected
L613,10,undirected
L614,10,undirected
L615,10,undirected
L167,10,undirected
L616,10,undirected
L617,10,undirected
L618,10,undirected
L195,10,undirected
L619,10,undirected
L620,10,undirected
L621,10,undirected
L622,10,undirected
L623,10,undirected
L624,10,undirected
L489,10,undirected
L625,10,undirected
L626,10,undirected
L627,10,undirected
L628,10,undirected
L629,10,undirected
L630,10,undirected
L631,10,undirected
L632,10,undirected
L633,10,undirected
L634,10,undirected
L635,10,undirected
L636,10,undirected
L637,10,undirected
L638,10,undirected
L639,10,undirected
L640,10,undirected
L641,10,undirected
L642,10,undirected
L643,10,undirected
L644,10,undirected
L645,10,undirected
L646,10,undirected
L647,10,undirected
L648,10,undirected
L649,10,undirected
L650,10,undirected
L651,10,undirected
L652,10,undirected
L653,10,undirected
L654,10,undirected
L655,10,undirected
L656,10,undirected
L657,10,undirected
L658,10,undirected
L659,10,undirected
L660,10,undirected
L419,10,undirected
L661,10,undirected
L662,10,undirected
L663,10,undirected
L664,10,undirected
L665,10,undirected
L666,10,undirected
L667,10,undirected
L668,10,undirected
L669,10,undirected
L670,10,undirected
L671,10,undirected
L672,10,undirected
L673,10,undirected
L674,10,undirected
L675,10,undirected
L676,10,undirected
L677,10,undirected
L678,10,undirected
L679,10,undirected
L26,10,undirected
L680,10,undirected
L681,10,undirected
L682,10,undirected
L683,10,undirected
L684,10,undirected
L685,10,undirected
L686,10,undirected
L687,10,undirected
L688,10,undirected
L689,10,undirected
L690,10,undirected
L691,10,undirected
L692,10,undirected
L693,10,undirected
L694,10,undirected
L695,10,undirected
L696,10,undirected
L697,10,undirected
L698,10,undirected
L699,10,undirected
L700,10,undirected
L701,10,undirected
L702,10,undirected
L703,10,undirected
L704,10,undirected
L705,10,undirected
L706,10,undirected
L707,10,undirected
L708,10,undirected
L709,10,undirected
L710,10,undirected
L711,10,undirected
L712,10,undirected
L713,10,undirected
L714,10,undirected
L715,10,undirected
L716,10,undirected
L717,10,undirected
L125,10,undirected
L718,10,undirected
L719,10,undirected
L720,10,undirected
L721,10,undirected
L722,10,undirected
L723,10,undirected
L724,10,undirected
L725,10,undirected
L726,10,undirected
L5,10,undirected
L727,10,undirected
L728,10,undirected
L729,10,undirected
L730,13,undirected
L731,13,undirected
L732,13,undirected
L733,13,undirected
L103,13,undirected
L734,13,undirected
L735,13,undirected
L736,13,undirected
L737,13,undirected
L738,13,undirected
L739,13,undirected
L740,13,undirected
L741,13,undirected
L742,13,undirected
L743,13,undirected
L744,13,undirected
L310,13,undirected
L745,13,undirected
L746,13,undirected
L747,13,undirected
L748,13,undirected
L749,13,undirected
L750,13,undirected
L751,13,undirected
L752,13,undirected
L753,13,undirected
L754,13,undirected
L755,13,undirected
L756,13,undirected
L757,13,undirected
L758,13,undirected
L759,13,undirected
L760,13,undirected
L761,13,undirected
L762,13,undirected
L763,13,undirected
L764,13,undirected
L765,13,undirected
L766,13,undirected
L767,13,undirected
L768,13,undirected
L769,13,undirected
L770,13,undirected
L771,13,undirected
L772,13,undirected
L773,13,undirected
L774,13,undirected
L775,13,undirected
L776,13,undirected
L777,13,undirected
L778,13,undirected
L779,13,undirected
L780,13,undirected
L330,13,undirected
L781,13,undirected
L170,13,undirected
L782,13,undirected
L783,13,undirected
L784,13,undirected
L785,13,undirected
L519,13,undirected
L786,13,undirected
L787,13,undirected
L311,13,undirected
L788,13,undirected
L789,13,undirected
L790,13,undirected
L791,13,undirected
